ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Sale price","Regular price",Categories,Tags,Images,Stock,"Backorders allowed?","Weight (kg)"
1,simple,SHOE-0001,"Nike Air Zoom Pegasus 41",1,1,visible,"Giày chạy bộ nhẹ, đệm Zoom Air êm ái","Giày chạy bộ nhẹ, đệm Zoom Air êm ái. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2890000,3290000,"Giày Chạy Bộ","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-1.jpg,50,0,0.8
2,simple,SHOE-0002,"Nike Revolution 7",1,1,visible,"Giày chạy đường dài, thoáng khí","Giày chạy đường dài, thoáng khí. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",1590000,1890000,"Giày Chạy Bộ","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-4.jpg,50,0,0.8
3,simple,SHOE-0003,"Adidas Ultraboost Light",1,0,visible,"Đệm Boost siêu nhẹ, đế Continental","Đệm Boost siêu nhẹ, đế Continental. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",4290000,4890000,"Giày Chạy Bộ","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-2.jpg,50,0,0.8
4,simple,SHOE-0004,"Adidas Supernova Rise",1,0,visible,"Giày chạy ổn định, Dreamstrike+","Giày chạy ổn định, Dreamstrike+. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2690000,3190000,"Giày Chạy Bộ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-3.jpg,50,0,0.8
5,simple,SHOE-0005,"New Balance Fresh Foam X 1080v13",1,0,visible,"Đệm Fresh Foam X cao cấp","Đệm Fresh Foam X cao cấp. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3890000,4390000,"Giày Chạy Bộ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-10.jpg,50,0,0.8
6,simple,SHOE-0006,"New Balance FuelCell Rebel v4",1,0,visible,"Tốc độ cao, đế FuelCell nhẹ","Tốc độ cao, đế FuelCell nhẹ. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3290000,3690000,"Giày Chạy Bộ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-5.jpg,50,0,0.8
7,simple,SHOE-0007,"Asics Gel-Nimbus 26",1,0,visible,"Đệm Gel tối ưu, FlyteFoam","Đệm Gel tối ưu, FlyteFoam. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3590000,4190000,"Giày Chạy Bộ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-2.jpg,50,0,0.8
8,simple,SHOE-0008,"Asics Gel-Kayano 31",1,0,visible,"Ổn định cao cấp, 4D Guidance","Ổn định cao cấp, 4D Guidance. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",4090000,4590000,"Giày Chạy Bộ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-3.jpg,50,0,0.8
9,simple,SHOE-0009,"Puma Velocity Nitro 3",1,0,visible,"Đế Nitro Foam phản hồi tốt","Đế Nitro Foam phản hồi tốt. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2490000,2890000,"Giày Chạy Bộ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-5.jpg,50,0,0.8
10,simple,SHOE-0010,"Hoka Clifton 9",1,0,visible,"Đệm dày siêu nhẹ, meta-rocker","Đệm dày siêu nhẹ, meta-rocker. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3490000,3990000,"Giày Chạy Bộ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-1.jpg,50,0,0.8
11,simple,SHOE-0011,"Hoka Bondi 8",1,0,visible,"Đệm tối đa, thoải mái suốt ngày","Đệm tối đa, thoải mái suốt ngày. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3990000,4490000,"Giày Chạy Bộ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-2.jpg,50,0,0.8
12,simple,SHOE-0012,"Saucony Kinvara 14",1,0,visible,"Nhẹ, linh hoạt, drop 4mm","Nhẹ, linh hoạt, drop 4mm. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2890000,3290000,"Giày Chạy Bộ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-7.jpg,50,0,0.8
13,simple,SHOE-0013,"Brooks Ghost 16",1,0,visible,"Đệm DNA Loft êm, bền bỉ","Đệm DNA Loft êm, bền bỉ. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3190000,3690000,"Giày Chạy Bộ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-10.jpg,50,0,0.8
14,simple,SHOE-0014,"Mizuno Wave Rider 27",1,0,visible,"Công nghệ Wave, ổn định mượt","Công nghệ Wave, ổn định mượt. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2990000,3490000,"Giày Chạy Bộ","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-9.jpg,50,0,0.8
15,simple,SHOE-0015,"Nike Air Force 1 Low",1,1,visible,"Sneaker cổ điển da trắng","Sneaker cổ điển da trắng. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2690000,2990000,"Giày Sneaker","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-3.jpg,50,0,0.8
16,simple,SHOE-0016,"Nike Dunk Low Retro",1,1,visible,"Phong cách retro, da chất lượng","Phong cách retro, da chất lượng. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2890000,3290000,"Giày Sneaker","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-3.jpg,50,0,0.8
17,simple,SHOE-0017,"Nike Air Max 90",1,0,visible,"Thiết kế iconic, đệm Air Max","Thiết kế iconic, đệm Air Max. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3290000,3690000,"Giày Sneaker","Giảm giá, Bán chạy",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-8.jpg,50,0,0.8
18,simple,SHOE-0018,"Nike Air Max 97",1,0,visible,"Dáng sóng nước đặc trưng","Dáng sóng nước đặc trưng. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",3690000,4190000,"Giày Sneaker","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-6.jpg,50,0,0.8
19,simple,SHOE-0019,"Adidas Stan Smith",1,0,visible,"Sneaker da trắng kinh điển","Sneaker da trắng kinh điển. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2190000,2590000,"Giày Sneaker","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-6.jpg,50,0,0.8
20,simple,SHOE-0020,"Adidas Samba OG",1,0,visible,"Phong cách retro bóng đá","Phong cách retro bóng đá. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2490000,2890000,"Giày Sneaker","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-8.jpg,50,0,0.8
21,simple,SHOE-0021,"Adidas Gazelle",1,0,visible,"Thiết kế suede cổ điển","Thiết kế suede cổ điển. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2290000,2690000,"Giày Sneaker","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-4.jpg,50,0,0.8
22,simple,SHOE-0022,"New Balance 574",1,0,visible,"Sneaker di sản, phối màu đa dạng","Sneaker di sản, phối màu đa dạng. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2390000,2790000,"Giày Sneaker","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-6.jpg,50,0,0.8
23,simple,SHOE-0023,"New Balance 550",1,0,visible,"Phong cách bóng rổ retro","Phong cách bóng rổ retro. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",2890000,3290000,"Giày Sneaker","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-6.jpg,50,0,0.8
24,simple,SHOE-0024,"Puma Suede Classic",1,0,visible,"Da suede mềm, đế gum","Da suede mềm, đế gum. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",1890000,2290000,"Giày Sneaker","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-5.jpg,50,0,0.8
25,simple,SHOE-0025,"Converse Chuck Taylor All Star",1,0,visible,"Canvas cổ điển mọi thời đại","Canvas cổ điển mọi thời đại. Sản phẩm chính hãng 100%, bảo hành 12 tháng. Freeship cho đơn từ 1.000.000đ.",1290000,1590000,"Giày Sneaker","Giảm giá",http://localhost/web-ban-giay/wp-content/uploads/product-images/shoe-10.jpg,50,0,0.8
